ErrorCode,Question,Answer
4_1,Where do I find the Jupiter logs to share with support?,"In the Service UI, go to Maintenance ’ Diagnostics ’ Download Logs. Select the Jupiter category, export the log bundle, and include it when you contact QuickPick support."
4_1,What information should I include when contacting the QuickPick team?,"Provide the kiosk's serial number, the exact error code (4_1), timestamp of the failure, and the exported Jupiter logs. Also note any recent power interruptions or network changes."
4_1,How quickly can I expect a support response?,"QuickPick's SLA is a 4-hour response during business hours (M“F, 8 AM“6 PM). Outside of those times, expect a next-business-day reply."

4_3,What causes OPENING_OVERTIME?,Error code 4_3 (OPENING_OVERTIME) indicates the door didn't finish its open cycle within the allotted time”often due to a jam or motor issue. Contact QuickPick support so they can check motor health and door alignment.
4_3,How can I check for a physical jam?,"Visually inspect the door tracks for obstructions (e.g., debris, stray packaging). Manually slide the door open and closed to feel for resistance before retrying the automatic open."
4_3,Where can I view the door-open timeout setting?,"In the Service UI under Hardware Settings ’ Door Control, you'll see the open/close timeout configured. Note the value and share it with support if adjustments are needed."
4_3,What logs help diagnose OPENING_OVERTIME?,Export the Motor & Door logs from the Service UI's Diagnostics screen. These include RPM and current draw readings that pinpoint motor stalls.
4_3,How should I describe the problem to support?,"Tell them you saw 4_3 OPENING_OVERTIME, describe any manual testing you did, note the timeout value, and attach the Motor & Door logs for a faster root-cause analysis."

4_4,What does LOCK_ABNORMAL mean?,Error code 4_4 (LOCK_ABNORMAL) means the kiosk senses the lock mechanism but its state isn't as expected”either blocked hardware or mismatched SW/RFID settings.
4_4,Why should I reboot the cooler first?,A reboot resets both the software lock-control state and the RFID reader. It's the quickest way to rule out transient SW glitches before diving into hardware checks.
4_4,How do I confirm the software version?,"In the Service UI's BasicInfo section, note the SW version. If it's stale, follow your standard update process, then re-check BasicInfo to ensure the new version is active."
4_4,How can I test the lock hardware?,"Grab the door handle and pull”if it opens manually, the lock motor and striker are functional. If not, power off, open the control box, and inspect the lock cable connector at the Jupiter board for a secure fit."
4_4,What steps do I take if RFID pairing is wrong?,"Launch the FQC mobile app, go to RFID Pairing, scan the reader and tag to match IDs, save the pairing, then retry the Service UI ’ Operation ’ Open Door command."

4_5,What does Camera_obstructed mean?,"Error code 4_5 (Camera_obstructed) means the camera's view is blocked”dust, tape, or a misplaced label."
4_5,How can I clear the obstruction?,Locate the camera window at the top-left of the cooler interior. Use a lint-free cloth and isopropyl alcohol to gently clean the lens and surrounding area.
4_5,How do I verify the camera is now clear?,"In the Service UI, go to Diagnostics ’ Camera Preview. You should see a clear live image. If it's still fuzzy, check for internal obstructions around the camera housing."
4_5,What if I can't reach the camera safely?,"Power off the cooler, remove the top grill, then carefully clean the lens assembly by hand. Wear antistatic gloves to avoid fingerprint smudges."
4_5,When should I contact support instead?,"If cleaning doesn't restore a clear image in Camera Preview, export the Camera logs from Diagnostics and contact QuickPick support for a possible camera-module replacement."

4_6,What does CAMERA_OFFLINE mean?,Error code 4_6 (CAMERA_OFFLINE) means the kiosk's PC lost communication with the camera”usually a cable or USB port fault.
4_6,How do I check the camera connection?,"Open the control box, locate the USB cable from the camera module to the PC, and reseat both ends. Then reboot and check Camera Preview in the Service UI."
4_6,Where are the camera logs stored?,"In Diagnostics, choose Camera Logs. Export them for upload to support if reconnection fails."
4_6,What USB port should I use?,Always use the port labeled CAM on the PC board. Using a generic port may disable automatic re-enumeration after reboot.
4_6,What if reseating doesn't bring it back online?,Contact QuickPick support with the exported logs and note whether the Camera Preview remains blank after reseating.

4_7,What does JUPITER_WEAK_NETWORK mean?,Error code 4_7 (JUPITER_WEAK_NETWORK) means the Jupiter board's Ethernet or Wi-Fi link quality is below threshold”intermittent control messages.
4_7,How can I test network strength?,"In the Service UI, open Network Diagnostics and run the ping/test view. A packet loss above 5% or ping >100 ms triggers the error."
4_7,What can cause weak connectivity?,"Interference, damaged Ethernet cable, or poor Wi-Fi signal. Check for nearby devices on the same channel and inspect cable shielding for damage."
4_7,How do I improve the network link?,"Switch to a different Ethernet port or move the Wi-Fi access point closer. If using Wi-Fi, consider adding a USB-to-Ethernet adapter for a wired fallback."
4_7,When should I escalate to support?,"If ping tests remain poor after swapping cables and rebooting, export the Network Diagnostics report and open a ticket with QuickPick support."

4_22,What does CAMERA_ISSUE mean?,Error code 4_22 (CAMERA_ISSUE) is a catch-all for camera hardware or driver failures that can't be classified as obstructed or offline.
4_22,How can I differentiate from CAMERA_OFFLINE?,"Check Camera Preview- if you see static or corrupted frames, it's a driver or sensor error (4_22) rather than a missing feed (4_6)."
4_22,How do I update the camera driver?,"In the Service UI under Software Updates, select Camera Driver and apply the latest package. Reboot when prompted."
4_22,What logs help with CAMERA_ISSUE?,Export the Camera and System logs from Diagnostics”look for error codes in the image-capture routine.
4_22,When is hardware replacement needed?,"If driver updates don't resolve corrupted frames, contact support to schedule a camera module swap, including logs and error-code details."

4_28,What does LOCK_ISSUE mean?,Error code 4_28 (LOCK_ISSUE) indicates a generic lock-control failure that isn't purely timing (4_3) or abnormal state (4_4).
4_28,How do I distinguish it from LOCK_ABNORMAL?,"4_28 appears when the SW command to lock/unlock never completes, whereas 4_4 triggers when the sensed lock state mismatches expected state."
4_28,What initial checks should I perform?,"Reboot the cooler, then test manual door release. If the door won't move manually, suspect mechanical blockage; if it works manually, suspect SW/driver issues."
4_28,Which logs cover LOCK_ISSUE?,Export Lock Control logs under Diagnostics. These record the lock-command start/end times and error conditions.
4_28,When should I call support?,"If reboots and manual tests pass but 4_28 persists, gather the Lock Control logs and open a support ticket for a deeper firmware or hardware check."

4_29,What does CAMERA_LOW_FRAMERATE mean?,Error code 4_29 (CAMERA_LOW_FRAMERATE) means the camera is capturing below the 15 FPS minimum required for reliable recognition.
4_29,What causes low framerate?,"High CPU load, USB bandwidth contention, or corrupted video driver can throttle the camera below 15 FPS."
4_29,How do I measure current framerate?,"In Camera Preview mode, enable the FPS overlay in Diagnostics. If it reads below 15 FPS, you've confirmed the error."
4_29,How can I improve framerate?,"Close unnecessary background tasks via System Monitor, ensure the camera uses a dedicated USB port, and update the video-capture driver from Software Updates."
4_29,When do I escalate?,"If framerate remains low after freeing CPU and checking USB connections, export the System and Camera logs and contact QuickPick support for possible hardware replacement."

4_30-4_32,What do codes 4_30“4_32 cover?,"Error codes 4_30 to 4_32 are grouped as LOCK_ISSUE variants covering communication, sensor, or actuator faults”refer to the main LOCK_ISSUE (4_28) flow for initial steps."
4_30-4_32,How do I identify which sub-code I have?,"Check the exact code in the top-right corner of the Service UI's error banner”4_30 is comms, 4_31 is sensor, 4_32 is actuator."
4_30-4_32,What's the first troubleshooting step?,"Always reboot the cooler and manually test the door. Then export the specific Lock Control logs under Diagnostics, which include sub-code details."
4_30-4_32,How can I test the actuator?,"After power-down, disconnect the actuator cable and measure continuity with a multimeter. Then reconnect and run the Open Door command in Diagnostics ’ Hardware Test."
4_30-4_32,When should I involve support?,"If sub-code logs show repeated failures after manual and reboot tests, open a ticket with QuickPick support including the lock-command logs."

4_34,What does MACHINE_LOCKED mean?,Error code 4_34 (MACHINE_LOCKED) indicates the kiosk is in a service-mode lockout”no sales or door actions are permitted until unlocked.
4_34,How do I exit maintenance mode?,"In the Service UI, go to Maintenance ’ Exit Service Mode, enter your supervisor PIN, and confirm to resume normal operation."
4_34,What PIN do I use to unlock?,Use the site-specific supervisor PIN provided by your IT/admin team when the kiosk was deployed.
4_34,Can I reset the supervisor PIN?,"If you've lost the PIN, contact QuickPick support with a photo of the kiosk's serial-number barcode for remote reset instructions."
4_34,What logs record the lockout event?,Export the System logs; look for the MACHINE_LOCKED entry timestamp under the Service Mode category to correlate with user actions.

5_01,What does PREAUTH_AMOUNT_ERROR mean?,Error code 5_01 (PREAUTH_AMOUNT_ERROR) means the payment pre-authorization amount requested doesn't match the card-issuer's limit or expected amount.
5_01,How can I see the pre-auth amount attempted?,"In the Service UI under Payment Logs, find the transaction entry for 5_01 and view the Requested Amount vs. Approved Amount."
5_01,What should I try next?,Have the user retry the payment with a different card or ask their bank to confirm card limits for micro-transactions.
5_01,Where are payment logs stored?,"Export the Payment logs via Diagnostics ’ Export Logs. These include timestamps, card type, and amounts for each pre-auth."
5_01,When do I contact support?,"If multiple cards fail with 5_01, export the Payment logs and submit a support ticket”include the card types (no PAN), timestamps, and log file."

5_02,What causes CREDENTIALS_EMPTY?,Error code 5_02 (CREDENTIALS_EMPTY) means no payment credentials (card data or token) were received by the POS before authorization.
5_02,How can I replicate the error?,"In the Service UI's Payment Test, choose Start Transaction but select no payment method and observe the 5_02 error."
5_02,What's the fix for empty credentials?,Ensure the card-reader or NFC antenna is unobstructed and that the reader is firmly connected to the PC board. Then retest.
5_02,How do I update reader firmware?,"In Software Updates, select Payment Reader, apply the latest version, and reboot when prompted."
5_02,When to escalate?,"If the reader still reports 5_02 after reconnections and firmware updates, export the Payment and System logs and contact support."

5_03,What does CREDENTIALS_INVALID mean?,"Error code 5_03 (CREDENTIALS_INVALID) means the payment credentials were read but failed the issuer's validation (e.g., bad token or expired card)."
5_03,How can the user fix invalid credentials?,"Ask them to re-tap or swipe their card cleanly. If it fails again, try another card or check the expiration date."
5_03,Where do I see the invalid reason?,Check the Payment logs in Diagnostics; the card-issuer's decline code will be listed under Auth Response.
5_03,How do I update tokenization settings?,"In Payment Settings, review the tokenization server URL and credentials”ensure they match your PCI-compliant gateway configuration."
5_03,When should I call support?,"If valid cards still get 5_03, submit Payment logs and decline codes to QuickPick support for gateway-side investigation."

6_01,What does POS_NETWORK_ERROR mean?,Error code 6_01 (POS_NETWORK_ERROR) indicates the kiosk can't reach the payment gateway due to network issues.
6_01,How do I test POS connectivity?,"In Diagnostics ’ Network Test, run the Endpoint Ping for your payment gateway URL and note any failures or high latency."
6_01,What network settings matter?,"Ensure DNS is resolving your gateway host, that the correct proxy (if any) is configured in Network Settings, and that port 443 is open."
6_01,How can I switch to cellular fallback?,If your kiosk has a cellular modem: in Network Settings enable Cellular Failover and verify the SIM plan is active in the admin portal.
6_01,When to escalate?,"If pings fail after router checks and fallback is configured, export Network and Payment logs and open a ticket with QuickPick support."

6_02,What does WEBSOCKET_DISCONNECTED mean?,Error code 6_02 (WEBSOCKET_DISCONNECTED) means the live payment-status channel to your backend was severed unexpectedly.
6_02,How can I reestablish the websocket?,"In the Service UI under Payment Settings, click Reconnect WebSocket. This forces a fresh handshake with the server."
6_02,What logs record websocket errors?,Export the WebSocket logs under Diagnostics”look for disconnect timestamps and error messages indicating timeouts or SSL issues.
6_02,How do I check SSL certs?,Ensure your kiosk's system clock is correct in BasicInfo; then verify the SSL certificate installed for the websocket endpoint is not expired.
6_02,When should I contact support?,"If reconnect attempts keep failing, gather WebSocket and System logs and contact QuickPick support for deeper network or server-side analysis."

7_01,What does CHECKING mean?,Error code 7_01 (CHECKING) indicates the kiosk is performing its self-check routine at boot or after a major event.
7_01,How long does CHECKING typically take?,"The self-check usually completes within 30“45 seconds, running power, sensor, and peripheral diagnostics."
7_01,What should I do if it never finishes?,"If CHECKING hangs past 2 minutes, power-cycle the cooler. If it still hangs, export the System logs and contact support."
7_01,Where are self-check results stored?,"After the check, view Diagnostics ’ Self-Check Report to see pass/fail results for each subsystem."
7_01,Can I skip self-check?,No”self-check is mandatory on boot. Skipping it can leave hardware unverified and may void support SLA.


----------------------------------------------------------------------------------------------------------------
*,How to confirm SW version?,"To confirm the software version, follow these steps:\n\n1. Log in to the Service UI.\n2. Go to the ""BasicInfo"" section.\n3. Check the ""Software Version"" field."
3_03,What causes OPEN_LOCK_FAIL_TIMEOUT?,"Lock abnormal means that the Jupiter senses the lock but the default state is not as expected. This usually occurs when the lock engagement is either physically blocked or the RFID pairing is not set. If the HW is problematic, lock needs to be replaced. Cable assembly damage is the least likely root cause./nLock abnormal could also mean that the SW is not set to control this lock. If the SW is problematic, SW needs to be updated."
